timestamp,symbol,type,price,size,bid,ask
1766189834840641661,AAPL,TRADE,272.9917,1,0.0,0.0
1766189838791584673,AAPL,TRADE,272.9917,74,0.0,0.0
1766189859868121165,AAPL,TRADE,272.9988,1,0.0,0.0
1766189864805777516,AAPL,TRADE,272.99,1,0.0,0.0
1766189869015757268,AAPL,TRADE,273.0,10,0.0,0.0
1766189871040188931,AAPL,TRADE,272.9902,1,0.0,0.0
1766189873192907082,AAPL,TRADE,272.99,55,0.0,0.0
1766189892086589843,AAPL,TRADE,272.9902,1,0.0,0.0
1766189902353260202,AAPL,TRADE,272.9903,1,0.0,0.0
1766189936411693969,AAPL,TRADE,272.99,30,0.0,0.0
1766189941582763451,AAPL,TRADE,273.0,4,0.0,0.0
1766189956647761564,AAPL,TRADE,273.0,3,0.0,0.0
1766189961564120636,AAPL,TRADE,272.9934,10,0.0,0.0
1766189979544214194,AAPL,TRADE,272.9997,4,0.0,0.0
1766189980280857192,AAPL,TRADE,272.9934,10,0.0,0.0
1766189987225257608,AAPL,QUOTE,0.0,0,272.99,273.0
1766189987225258190,AAPL,TRADE,273.0,80,0.0,0.0
1766189987225287469,AAPL,TRADE,272.99,1,0.0,0.0
1766189987225568456,AAPL,TRADE,273.0,10,0.0,0.0
1766189987225572876,AAPL,TRADE,273.0,65,0.0,0.0
1766189987225575035,AAPL,QUOTE,0.0,0,272.99,273.0
1766189987226234415,AAPL,QUOTE,0.0,0,272.99,273.2
1766189987226645822,AAPL,QUOTE,0.0,0,272.99,273.0
1766190012771986764,AAPL,QUOTE,0.0,0,272.99,273.0
1766190012771987082,AAPL,TRADE,273.0,30,0.0,0.0
1766190012772936499,AAPL,QUOTE,0.0,0,272.99,273.2
1766190012773336237,AAPL,QUOTE,0.0,0,272.99,273.0
1766190013434807066,AAPL,QUOTE,0.0,0,272.99,273.0
1766190013434807502,AAPL,TRADE,273.0,13,0.0,0.0
1766190013435731685,AAPL,QUOTE,0.0,0,272.99,273.2
1766190013436137264,AAPL,QUOTE,0.0,0,272.99,273.0
1766190013436152235,AAPL,QUOTE,0.0,0,272.99,273.0
1766190013436152757,AAPL,TRADE,273.0,25,0.0,0.0
1766190013436420862,AAPL,TRADE,273.0,1,0.0,0.0
1766190013436423337,AAPL,TRADE,273.0,24,0.0,0.0
1766190013467718324,AAPL,QUOTE,0.0,0,272.99,273.2
1766190013468122811,AAPL,QUOTE,0.0,0,272.99,273.0
1766190022083363335,AAPL,TRADE,273.0,1,0.0,0.0
1766190029285167026,AAPL,TRADE,272.9934,10,0.0,0.0
1766190033582393339,AAPL,TRADE,272.9998,5,0.0,0.0
1766190038448968751,AAPL,QUOTE,0.0,0,272.99,273.0
1766190038448969608,AAPL,TRADE,273.0,19,0.0,0.0
1766190038449921338,AAPL,QUOTE,0.0,0,272.99,273.2
1766190038450327083,AAPL,QUOTE,0.0,0,272.99,273.0
1766190063780568503,AAPL,TRADE,272.9998,10,0.0,0.0
1766190066909680411,AAPL,TRADE,272.9997,1,0.0,0.0
1766190127515346731,AAPL,TRADE,272.99,3,0.0,0.0
1766190145293408762,AAPL,TRADE,272.9903,1,0.0,0.0
1766190147783529878,AAPL,TRADE,272.9997,10,0.0,0.0
1766190154812254349,AAPL,TRADE,273.0,1,0.0,0.0
1766190166062954862,AAPL,TRADE,272.9934,10,0.0,0.0
1766190184366425425,AAPL,TRADE,273.0,2,0.0,0.0
1766190198757258809,AAPL,TRADE,273.0,1,0.0,0.0
1766190198757263113,AAPL,TRADE,273.0,9,0.0,0.0
1766190213027203202,AAPL,TRADE,272.9924,4,0.0,0.0
1766190218560627405,AAPL,TRADE,273.0,1,0.0,0.0
1766190257022560223,AAPL,TRADE,272.9999,100,0.0,0.0
1766190259066235368,AAPL,TRADE,273.0,1,0.0,0.0
1766190262111314827,AAPL,TRADE,272.9998,30,0.0,0.0
1766190267988728392,AAPL,QUOTE,0.0,0,272.99,273.0
1766190267988729204,AAPL,TRADE,273.0,5,0.0,0.0
1766190267989694699,AAPL,QUOTE,0.0,0,272.99,273.2
1766190267990104248,AAPL,QUOTE,0.0,0,272.99,273.0
1766190287950400818,AAPL,TRADE,273.0,16,0.0,0.0
1766190296040329843,AAPL,TRADE,272.9999,180,0.0,0.0
1766190325494016426,AAPL,TRADE,272.99,2,0.0,0.0
1766190329564704614,AAPL,TRADE,272.9927,5,0.0,0.0
1766190330377309487,AAPL,TRADE,273.0,10,0.0,0.0
1766190330378503168,AAPL,TRADE,272.9999,10,0.0,0.0
1766190345385455104,AAPL,TRADE,272.99,250,0.0,0.0
1766190345981751807,AAPL,TRADE,272.9997,1,0.0,0.0
1766190372413108071,AAPL,TRADE,272.99,1,0.0,0.0
1766190373891504298,AAPL,TRADE,272.99,20,0.0,0.0
1766190382513270342,AAPL,TRADE,272.99,1,0.0,0.0
1766190405299260176,AAPL,TRADE,273.0,90,0.0,0.0
1766190405300549205,AAPL,TRADE,272.9999,90,0.0,0.0
1766190448487009115,AAPL,TRADE,272.9998,1,0.0,0.0
1766190458910897005,AAPL,TRADE,273.0,1,0.0,0.0
1766190461565055298,AAPL,TRADE,273.0,1,0.0,0.0
1766190461566340901,AAPL,TRADE,272.9999,1,0.0,0.0
1766190462377017168,AAPL,TRADE,273.0,2,0.0,0.0
1766190483251656730,AAPL,TRADE,272.9916,100,0.0,0.0
1766190483770701819,AAPL,TRADE,273.0,1,0.0,0.0
1766190495552227971,AAPL,TRADE,273.0,4,0.0,0.0
1766190507688304407,AAPL,TRADE,272.99,2,0.0,0.0
1766190509724104274,AAPL,TRADE,273.0,1,0.0,0.0
1766190510103486477,AAPL,TRADE,272.9902,1,0.0,0.0
1766190525715417893,AAPL,TRADE,273.0,3,0.0,0.0
1766190532343971122,AAPL,TRADE,273.0,5,0.0,0.0
1766190550530585723,AAPL,TRADE,272.99,25,0.0,0.0
1766190587755643812,AAPL,TRADE,273.0,10,0.0,0.0
1766190599141491732,AAPL,QUOTE,0.0,0,272.99,273.0
1766190599141492303,AAPL,TRADE,273.0,20,0.0,0.0
1766190599142449545,AAPL,QUOTE,0.0,0,272.99,273.2
1766190599142848106,AAPL,QUOTE,0.0,0,272.99,273.0
1766190612394924263,AAPL,QUOTE,0.0,0,272.99,273.0
1766190634736667090,AAPL,QUOTE,0.0,0,272.99,273.0
1766190651007750411,AAPL,TRADE,273.0,1,0.0,0.0
1766190669306579998,AAPL,TRADE,272.9999,300,0.0,0.0
1766190675953398113,AAPL,TRADE,272.9917,1,0.0,0.0
1766190682149646007,AAPL,TRADE,272.99,500,0.0,0.0
1766190689625719998,AAPL,TRADE,272.9917,1,0.0,0.0
1766190689669764461,AAPL,TRADE,272.9999,1,0.0,0.0
1766190699239613963,AAPL,TRADE,273.0,1,0.0,0.0
1766190704356296870,AAPL,TRADE,272.9903,8,0.0,0.0
1766190709547333788,AAPL,TRADE,272.9924,4,0.0,0.0
1766190731793767192,AAPL,TRADE,272.9926,5,0.0,0.0
1766190738542090542,AAPL,TRADE,272.9916,20,0.0,0.0
1766190739658781022,AAPL,TRADE,273.0,100,0.0,0.0
1766190740042952751,AAPL,TRADE,272.9999,10,0.0,0.0
1766190750890780273,AAPL,TRADE,272.9997,2,0.0,0.0
1766190752374305979,AAPL,TRADE,273.0,3,0.0,0.0
1766190753498879501,AAPL,TRADE,273.0,2,0.0,0.0
1766190757633864195,AAPL,TRADE,273.0,3,0.0,0.0
1766190757909156707,AAPL,TRADE,272.9999,1,0.0,0.0
1766190766863404617,AAPL,TRADE,272.99,5,0.0,0.0
1766190779127779115,AAPL,TRADE,273.0,10,0.0,0.0
1766190802394856548,AAPL,QUOTE,0.0,0,272.97,273.0
